name,description,price,open_time,close_time,category_id
和祥亭,伝統的な和食を提供する落ち着いた雰囲気の店,2500,11:00,22:00,1
洋食レストラン・ルミエール,こだわりのデミグラスソースが自慢の洋食店,2000,11:30,21:30,2
漁火亭,新鮮な海鮮をふんだんに使った魚介料理専門店,3000,10:00,22:00,3
パスタハウス・フェリーチェ,本格イタリアンパスタを楽しめるお店,1800,11:00,20:30,4
ナポリピッツァ・ロッソ,石窯で焼き上げる本格ナポリピザの店,2200,12:00,22:30,5
手羽先酒場・福来,秘伝のタレで焼き上げるジューシーな手羽先が名物,1500,17:00,23:00,6
スパイスキッチン・カリー,オリジナルブレンドのスパイスが香る本格カレー,1300,11:00,21:00,7
韓国食堂・マシッソヨ,韓国の家庭料理を味わえる人気店,1700,12:00,22:00,8
中華飯店・龍華,四川風から広東風まで幅広い中華料理を提供,2000,11:00,22:30,9
焼肉・炭火苑,A5ランクの和牛をリーズナブルに楽しめる焼肉店,5000,17:00,23:30,10
カフェ・ルパン,自家焙煎のコーヒーとこだわりのスイーツが人気,1200,10:00,20:00,11
居酒屋・大漁丸,新鮮な魚介と地酒が楽しめる和風居酒屋,2800,17:00,24:00:00,12
創作和食・花水木,四季折々の食材を使った創作和食が魅力,3200,17:00,22:00,1
ビストロ・ボンヌシェール,フレンチとイタリアンを融合した創作料理,3500,18:00,23:00,2
海鮮ダイニング・漣,漁港直送の新鮮な魚介を堪能できるダイニング,4000,16:00,22:30,3
イタリア食堂・トスカーナ,手打ちパスタとワインが楽しめるお店,2800,12:00,22:00,4
ピッツェリア・モリーノ,薪窯で焼く本格ナポリピザが人気,2300,12:00,21:30,5
名古屋手羽先・山ちゃん,ピリ辛ダレがやみつきになる名古屋名物,1600,17:00,24:00:00,6
スパイスカレー・ガラムマサラ,こだわりスパイスの本格インドカレー,1400,11:30,21:30,7
